model_id,model_name,f1_pos_mean,f1_pos_std,precision_pos_mean,precision_pos_std,recall_pos_mean,recall_pos_std,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
1,LogisticRegression,0.16662578054797578,0.006186921245118198,0.5488129934497084,0.013823086303909419,0.0982448015185107,0.004081397420754097,0.32756785060558247,0.005770300576265526,0.7285596057975622,0.0029078911965933906
2,DecisionTree,0.15055913823019512,0.014379751068553926,0.5692757407187731,0.017738105150721155,0.08696234898135725,0.009872579942543445,0.32626991671712646,0.004936935149486419,0.7316271563183747,0.0027937779766584532
3,RandomForest,0.13057493912046642,0.007468710748575532,0.5926064073307828,0.026404290634214476,0.07343623831437127,0.0048556180155428655,0.3328722889580499,0.006070676266078466,0.7269642143240596,0.003720812640343422
4,XGBoost,0.166654522367809,0.007219641306404661,0.5564033110427716,0.021849149919906666,0.09807978504379915,0.005054549209818023,0.33562271148384826,0.006487863164400806,0.7360922936326124,0.0035054214597617698
